,id,sentence,research-problem,approach,model,code,dataset,experimental-setup,hyperparameters,baselines,results,tasks,experiments,ablation-analysis
0,0,"title
",0,0,0,0,0,0,0,0,0,0,0,0
1,1,"SCIBERT : A Pretrained Language Model for Scientific Text
",0,0,0,0,0,0,0,0,0,0,0,0
2,2,"abstract
",0,0,0,0,0,0,0,0,0,0,0,0
3,3,"Obtaining large - scale annotated data for NLP tasks in the scientific domain is challenging and expensive .
",1,0,0,0,0,0,0,0,0,0,0,0
4,4,"We release SCIBERT , a pretrained language model based on BERT ( Devlin et al. , 2019 ) to address the lack of high - quality , large - scale labeled scientific data .
",1,0,0,0,0,0,0,0,0,0,0,0
5,5,"SCIBERT leverages unsupervised pretraining on a large multi-domain corpus of scientific publications to improve performance on downstream scientific NLP tasks .
",0,0,0,0,0,0,0,0,0,0,0,0
6,6,"We evaluate on a suite of tasks including sequence tagging , sentence classification and dependency parsing , with datasets from a variety of scientific domains .
",0,0,0,0,0,0,0,0,0,0,0,0
7,7,"We demonstrate statistically significant improvements over BERT and achieve new state - of - theart results on several of these tasks .
",0,0,0,0,0,0,0,0,0,0,0,0
8,8,"The code and pretrained models are available at https://github.com/allenai/scibert/.
",0,0,0,1,0,0,0,0,0,0,0,0
9,9,"Introduction
",0,0,0,0,0,0,0,0,0,0,0,0
10,10,"The exponential increase in the volume of scientific publications in the past decades has made NLP an essential tool for large - scale knowledge extraction and machine reading of these documents .
",0,0,0,0,0,0,0,0,0,0,0,0
11,11,"Recent progress in NLP has been driven by the adoption of deep neural models , but training such models often requires large amounts of labeled data .
",0,0,0,0,0,0,0,0,0,0,0,0
12,12,"In general domains , large - scale training data is often possible to obtain through crowdsourcing , but in scientific domains , annotated data is difficult and expensive to collect due to the expertise required for quality annotation .
",1,0,0,0,0,0,0,0,0,0,0,0
13,13,"As shown through ELMo , and BERT , unsupervised pretraining of language models on large corpora significantly improves performance on many NLP tasks .
",0,0,0,0,0,0,0,0,0,0,0,0
14,14,"These models return contextualized embeddings for each token which can be passed into minimal task - specific neural architectures .
",0,0,0,0,0,0,0,0,0,0,0,0
15,15,"Leveraging the success of unsupervised pretraining has become especially important especially when task - specific annotations are difficult to obtain , like in scientific NLP .
",0,0,0,0,0,0,0,0,0,0,0,0
16,16,"Yet while both BERT and ELMo have released pretrained models , they are still trained on general domain corpora such as news articles and Wikipedia .
",0,0,0,0,0,0,0,0,0,0,0,0
17,17,"In this work , we make the following contributions :
",0,0,0,0,0,0,0,0,0,0,0,0
18,18,"( i ) We release SCIBERT , anew resource demonstrated to improve performance on a range of NLP tasks in the scientific domain .
",0,0,0,0,0,0,0,0,0,0,0,0
19,19,"SCIBERT is a pretrained language model based on BERT but trained on a large corpus of scientific text .
",0,0,0,0,0,0,0,0,0,0,0,0
20,20,"( ii ) We perform extensive experimentation to investigate the performance of finetuning versus task - specific architectures atop frozen embeddings , and the effect of having an in - domain vocabulary .
",0,0,0,0,0,0,0,0,0,0,0,0
21,21,"( iii ) We evaluate SCIBERT on a suite of tasks in the scientific domain , and achieve new state - of the - art ( SOTA ) results on many of these tasks .
",0,0,0,0,0,0,0,0,0,0,0,0
22,22,"Methods
",0,0,0,0,0,0,0,0,0,0,0,0
23,23,"Background
",0,0,0,0,0,0,0,0,0,0,0,0
24,24,"The BERT model architecture is based on a multilayer bidirectional Transformer .
",0,0,0,0,0,0,0,0,0,0,0,0
25,25,"Instead of the traditional left - to - right language modeling objective , BERT is trained on two tasks : predicting randomly masked tokens and predicting whether two sentences follow each other .
",0,0,0,0,0,0,0,0,0,0,0,0
26,26,"SCIB - ERT follows the same architecture as BERT but is instead pretrained on scientific text .
",0,1,0,0,0,0,0,0,0,0,0,0
27,27,"Vocabulary BERT uses WordPiece for unsupervised tokenization of the input text .
",0,0,0,0,0,0,0,0,0,0,0,0
28,28,"The vocabulary is built such that it contains the most frequently used words or subword units .
",0,0,0,0,0,0,0,0,0,0,0,0
29,29,"We refer to the original vocabulary released with BERT as BASEVOCAB .
",0,0,0,0,0,0,0,0,0,0,0,0
30,30,"We construct SCIVOCAB , anew WordPiece vocabulary on our scientific corpus using the Sen - tencePiece 1 library .
",0,1,0,0,0,0,0,0,0,0,0,0
